Source_Medium,Users,Sessions,Transactions,Revenue,Revenue_per_Session,Calculated_Conversion_Rate
Alpha,54565.0,91971.0,392.0,54376.0,1.3198273271827783,0.9509388071157058
Beaker Browser,6296.0,7549.0,34.0,6994.0,1.0983793111720763,0.5012943225702412
Beta,11112.0,11702.0,27.0,4009.0,0.3151005162763782,0.2285735764244386
Bingo,254893.0,368494.0,1689.0,207764.0,0.587575959606067,0.4153132900208752
Brave,142865.0,173986.0,823.0,149046.0,1.082985511390241,0.5880318488867707
Delta,72201.0,98770.0,115.0,21036.0,3.123654582641888,1.4240354269813291
Dooble,2751.0,3060.0,3.0,205.0,0.07865311953533677,0.1130066414744218
Edge,22477.0,25187.0,100.0,16480.0,0.6601635222594193,0.39376533725718976
Electron,6315.0,7057.0,0.0,0.0,0.0,0.0
Fire Fox,53214.0,86987.0,617.0,84647.0,1.0063669828685102,0.7345241063894361
GNOME Web,863.0,1180.0,23.0,4952.0,3.956100581631374,1.8397810416982363
Gamma,22496.0,26808.0,50.0,7739.0,1.3927115545995568,0.8563542189326622
Google,1110513.0,1702468.0,7566.0,1294136.0,0.7804480695556205,0.45751750467906577
Ice Dragon,12473.0,18731.0,1484.0,310956.0,17.200641527261812,7.746994256478853
Lynx,3357.0,5754.0,38.0,4678.0,0.7714664358112,0.6363803770417364
NetSurf,446.0,850.0,6.0,889.0,1.036166050858509,0.6993044990219517
Neutron,21302.0,27224.0,272.0,43763.0,2.5162346315287194,1.4745637315273175
Opera,107241.0,127386.0,2.0,290.0,0.0025407394427895565,0.0017522340984755566
Proton,11492.0,26330.0,45.0,9695.0,1.947233667345912,0.6936257685781354
Safari,4418.0,10882.0,9.0,1527.0,0.11524744270972964,0.07244239568510069
Tor,184992.0,328414.0,1147.0,197744.0,0.6082329067019444,0.36508612045424993
U C Browser,13390.0,18444.0,62.0,9480.0,0.49639070664258594,0.3671300059702129
Yahoo,696901.0,840512.0,2838.0,540692.0,0.6617929035003067,0.3628903211565437
euromessage / push,99.0,125.0,0.0,0.0,0.0,0.0
midori,7217.0,12953.0,3921.0,722096.0,51.69537450354627,26.43021871901317
