Source_Medium,Year,Month of the year,Users,New Users,Sessions,Bounce_Rate,Pageviews,Avg_Session_Duration,Conversion_Rate,Transactions,Revenue,Quantity Sold,Avg_Session_Duration_sec,Calculated_Conversion_Rate,Revenue_per_Session,Pages_per_Session
Google,2019,11,126870.0,104020.0,194667.0,0.7159,455159.0,00:01:11,0.2,394.0,83244.0,482.0,,0.20239691370391488,0.4276225554408297,2.3381415442781774
Google,2020,5,120625.0,98574.0,194114.0,0.6456,559509.0,00:01:32,0.69,1347.0,203552.0,2402.0,,0.6939221282339244,1.0486209134838291,2.8823732445882317
Google,2019,10,123361.0,104308.0,181175.0,0.4191,368907.0,00:01:05,0.26,477.0,94282.0,599.0,,0.2632813578032289,0.5203918862977784,2.0361915275286324
Google,2019,9,106551.0,88428.0,170329.0,0.7592,368803.0,00:01:01,0.18,311.0,54971.0,415.0,,0.18258781534559587,0.3227342378573232,2.165239037392341
Google,2020,6,102123.0,82461.0,163446.0,0.671,425410.0,00:01:20,0.7,1138.0,167113.0,1987.0,,0.6962544204201999,1.0224355444611677,2.6027556501841587
Google,2019,12,91043.0,70326.0,142637.0,0.6706,370798.0,00:01:20,0.34,486.0,103001.0,607.0,,0.3407250573133198,0.722119786591137,2.5995919712276616
Google,2020,1,83031.0,64103.0,133736.0,0.6946,373356.0,00:01:23,0.45,601.0,128552.0,777.0,,0.4493928336423999,0.9612370640665191,2.791738948375905
Google,2020,7,84343.0,73239.0,125423.0,0.7116,292263.0,00:01:12,0.58,730.0,98161.0,1360.0,,0.5820304090956204,0.7826395477703452,2.3302185404590863
Google,2020,2,82626.0,68145.0,125318.0,0.7006,328822.0,00:01:24,0.52,657.0,126137.0,981.0,,0.5242662666177245,1.0065353740085223,2.6239007963740244
Google,2020,3,73844.0,61557.0,110546.0,0.7219,266187.0,00:01:15,0.48,531.0,96195.0,843.0,,0.48034302462323375,0.8701807392397735,2.4079297306098817
Yahoo,2019,12,88579.0,75361.0,106966.0,0.562,333480.0,00:01:55,0.21,225.0,47724.0,317.0,,0.21034721313314514,0.446160462202943,3.1176261615840546
Google,2020,4,73349.0,62794.0,104146.0,0.6712,288195.0,00:01:25,0.6,622.0,95367.0,1150.0,,0.597238492116836,0.9157048758473681,2.767221016649703
Bingo,2020,5,68869.0,55769.0,99838.0,0.5098,325311.0,00:01:38,0.47,471.0,58744.0,819.0,,0.47176425809811895,0.5883931969791062,3.258388589515014
